;infix;prefix;conclusion
777;( ( 3 or 3 ) and ( 4 or 5 ) );and or 3 3 or 4 5;3
778;( ( 1 or 1 ) and ( 4 or 1 ) );and or 1 1 or 4 1;1
779;( ( 4 or 1 ) and ( 4 or 4 ) );and or 4 1 or 4 4;4
780;( ( 2 and 3 ) or ( 1 and 3 ) );or and 2 3 and 1 3;3
781;( ( 4 or 4 ) or ( 1 and 4 ) );or or 4 4 and 1 4;4
782;( ( 3 or 1 ) and ( 3 or 3 ) );and or 3 1 or 3 3;3
783;( ( 2 or 1 ) and ( 1 or 1 ) );and or 2 1 or 1 1;1
784;( ( 4 and 4 ) and ( 2 or 1 ) );and and 4 4 or 2 1;4
785;( ( 5 or 3 ) and ( 1 or 1 ) );and or 5 3 or 1 1;1
786;( ( 1 and 5 ) or ( 2 and 5 ) );or and 1 5 and 2 5;5
787;( 2 and ( 4 or 1 ) );and 2 or 4 1;2
788;( 2 or ( 5 and 2 ) );or 2 and 5 2;2
789;( ( 5 or 4 ) and 1 );and or 5 4 1;1
790;( ( 2 or 5 ) and not 5 );and or 2 5 not 5;2
791;( ( 4 and 1 ) or ( 4 or 4 ) );or and 4 1 or 4 4;4
792;( ( 4 or 2 ) and 4 );and or 4 2 4;4
793;( ( 5 or 4 ) and ( 1 or 1 ) );and or 5 4 or 1 1;1
794;( ( 5 or 5 ) and ( 1 or 4 ) );and or 5 5 or 1 4;5
795;( ( 1 and 2 ) or ( 2 and 2 ) );or and 1 2 and 2 2;2
796;( 4 or ( 4 and 1 ) );or 4 and 4 1;4
797;( 3 and ( 3 or 3 ) );and 3 or 3 3;3
798;( ( 2 and 5 ) or 5 );or and 2 5 5;5
799;( not 2 and ( 5 or 2 ) );and not 2 or 5 2;5
800;( ( 1 or 1 ) and ( 3 or 1 ) );and or 1 1 or 3 1;1
801;( ( 5 or 5 ) and ( 3 or 4 ) );and or 5 5 or 3 4;5
802;( ( 4 and 4 ) and ( 3 or 1 ) );and and 4 4 or 3 1;4
803;( ( 5 and 2 ) or ( 3 and 5 ) );or and 5 2 and 3 5;5
804;( ( 3 or 1 ) and 1 );and or 3 1 1;1
805;( ( 5 and 3 ) or ( 2 and 5 ) );or and 5 3 and 2 5;5
806;( ( 2 or 1 ) and 3 );and or 2 1 3;3
807;( 3 and ( 2 or 3 ) );and 3 or 2 3;3
808;( ( 3 or 3 ) and ( 2 or 3 ) );and or 3 3 or 2 3;3
809;( ( 2 or 2 ) and not 4 );and or 2 2 not 4;2
810;( 5 or ( 5 and 2 ) );or 5 and 5 2;5
811;( ( 2 and 2 ) and ( 4 or 2 ) );and and 2 2 or 4 2;2
812;( ( 2 or 2 ) or ( 1 and 2 ) );or or 2 2 and 1 2;2
813;( ( 4 and 1 ) or ( 1 and 2 ) );or and 4 1 and 1 2;1
814;( ( 4 or 4 ) and ( 3 or 5 ) );and or 4 4 or 3 5;4
815;( ( 4 and 1 ) or ( 5 and 1 ) );or and 4 1 and 5 1;1
816;( 4 or ( 4 and 5 ) );or 4 and 4 5;4
817;( ( 2 or 3 ) and 5 );and or 2 3 5;5
818;( ( 4 and 5 ) or ( 4 and 2 ) );or and 4 5 and 4 2;4
819;( ( 2 and 4 ) or ( 5 and 4 ) );or and 2 4 and 5 4;4
820;( ( 5 or 4 ) and 2 );and or 5 4 2;2
821;( ( 4 and 4 ) or ( 1 and 4 ) );or and 4 4 and 1 4;4
822;( not 1 and ( 1 or 2 ) );and not 1 or 1 2;2
823;( ( 5 and 4 ) or 5 );or and 5 4 5;5
824;( ( 5 or 5 ) or ( 4 and 5 ) );or or 5 5 and 4 5;5
825;( ( 4 or 1 ) and ( 1 and 1 ) );and or 4 1 and 1 1;1
826;( ( 1 or 2 ) and ( 3 and 3 ) );and or 1 2 and 3 3;3
827;( ( 3 or 4 ) and 1 );and or 3 4 1;1
828;( ( 2 and 4 ) or ( 3 and 2 ) );or and 2 4 and 3 2;2
829;( 4 and ( 5 or 2 ) );and 4 or 5 2;4
830;( ( 4 or 3 ) and ( 1 or 1 ) );and or 4 3 or 1 1;1
831;( ( 4 or 3 ) and not 4 );and or 4 3 not 4;3
832;( ( 4 or 5 ) and ( 1 or 1 ) );and or 4 5 or 1 1;1
833;( 3 and ( 4 or 5 ) );and 3 or 4 5;3
834;( ( 4 or 2 ) and 2 );and or 4 2 2;2
835;( ( 1 and 1 ) or ( 3 and 1 ) );or and 1 1 and 3 1;1
836;( ( 1 and 3 ) or 1 );or and 1 3 1;1
837;( ( 2 or 2 ) and ( 2 or 2 ) );and or 2 2 or 2 2;2
838;( ( 5 and 5 ) or ( 5 and 3 ) );or and 5 5 and 5 3;5
839;( 3 and ( 1 or 2 ) );and 3 or 1 2;3
840;( 2 and ( 2 or 4 ) );and 2 or 2 4;2
841;( ( 2 or 2 ) and ( 1 or 4 ) );and or 2 2 or 1 4;2
842;( ( 1 and 3 ) or ( 1 and 5 ) );or and 1 3 and 1 5;1
843;( ( 3 and 1 ) or ( 3 or 3 ) );or and 3 1 or 3 3;3
844;( ( 5 or 1 ) and ( 3 and 3 ) );and or 5 1 and 3 3;3
845;( 2 and ( 5 or 2 ) );and 2 or 5 2;2
846;( ( 1 and 1 ) and ( 1 or 5 ) );and and 1 1 or 1 5;1
847;( ( 5 or 5 ) and ( 2 or 3 ) );and or 5 5 or 2 3;5
848;( ( 1 or 3 ) and ( 1 and 1 ) );and or 1 3 and 1 1;1
849;( ( 2 and 1 ) or ( 5 and 1 ) );or and 2 1 and 5 1;1
850;( 5 and ( 2 or 3 ) );and 5 or 2 3;5
851;( ( 2 or 1 ) and 5 );and or 2 1 5;5
852;( ( 5 or 2 ) and ( 3 or 3 ) );and or 5 2 or 3 3;3
853;( ( 3 and 5 ) or ( 3 or 3 ) );or and 3 5 or 3 3;3
854;( ( 5 and 4 ) or ( 4 and 1 ) );or and 5 4 and 4 1;4
855;( 2 and ( 3 or 4 ) );and 2 or 3 4;2
856;( ( 4 and 1 ) or ( 5 and 4 ) );or and 4 1 and 5 4;4
857;( ( 2 or 3 ) and 4 );and or 2 3 4;4
858;( ( 5 or 4 ) and 3 );and or 5 4 3;3
859;( ( 5 or 4 ) and ( 3 and 3 ) );and or 5 4 and 3 3;3
860;( ( 3 and 4 ) or ( 3 and 2 ) );or and 3 4 and 3 2;3
861;( ( 1 or 2 ) and ( 3 or 3 ) );and or 1 2 or 3 3;3
862;( ( 5 or 5 ) and ( 2 or 1 ) );and or 5 5 or 2 1;5
863;( ( 1 and 2 ) or 1 );or and 1 2 1;1
864;( ( 4 and 4 ) and ( 2 or 4 ) );and and 4 4 or 2 4;4
865;( ( 3 or 5 ) and 1 );and or 3 5 1;1
866;( ( 3 and 5 ) or ( 5 or 5 ) );or and 3 5 or 5 5;5
867;( ( 3 and 3 ) and ( 5 or 1 ) );and and 3 3 or 5 1;3
868;( ( 4 and 1 ) or ( 3 and 4 ) );or and 4 1 and 3 4;4
869;( ( 3 or 1 ) and 2 );and or 3 1 2;2
870;( ( 3 or 1 ) and not 3 );and or 3 1 not 3;1
871;( ( 4 and 5 ) or ( 2 and 5 ) );or and 4 5 and 2 5;5
872;( ( 5 and 3 ) or ( 5 or 5 ) );or and 5 3 or 5 5;5
873;( ( 1 or 1 ) or ( 1 and 1 ) );or or 1 1 and 1 1;1
874;( ( 3 and 3 ) or 3 );or and 3 3 3;3
875;( ( 3 or 2 ) and 3 );and or 3 2 3;3
876;( ( 2 and 4 ) or ( 2 and 5 ) );or and 2 4 and 2 5;2
877;( ( 5 and 4 ) or ( 2 and 5 ) );or and 5 4 and 2 5;5
878;( ( 4 and 2 ) or ( 4 and 3 ) );or and 4 2 and 4 3;4
879;( ( 1 and 1 ) and ( 4 or 1 ) );and and 1 1 or 4 1;1
880;( ( 2 and 2 ) and ( 4 or 3 ) );and and 2 2 or 4 3;2
881;( ( 5 and 3 ) or ( 3 and 3 ) );or and 5 3 and 3 3;3
882;( ( 4 or 4 ) and ( 3 or 2 ) );and or 4 4 or 3 2;4
883;( ( 2 or 2 ) and ( 2 or 4 ) );and or 2 2 or 2 4;2
884;( ( 2 or 1 ) and ( 3 or 3 ) );and or 2 1 or 3 3;3
885;( ( 5 and 5 ) and ( 2 or 4 ) );and and 5 5 or 2 4;5
886;( ( 2 and 2 ) and ( 5 or 1 ) );and and 2 2 or 5 1;2
887;( ( 4 or 3 ) and ( 3 and 3 ) );and or 4 3 and 3 3;3
888;( ( 2 or 2 ) and ( 3 or 2 ) );and or 2 2 or 3 2;2
889;( ( 1 or 1 ) and not 3 );and or 1 1 not 3;1
890;( ( 3 or 1 ) and ( 1 and 1 ) );and or 3 1 and 1 1;1
891;( ( 1 and 5 ) or 1 );or and 1 5 1;1
892;( ( 1 and 4 ) or ( 4 or 4 ) );or and 1 4 or 4 4;4
893;( ( 4 or 4 ) and ( 4 or 3 ) );and or 4 4 or 4 3;4
894;( ( 4 and 1 ) or ( 1 or 1 ) );or and 4 1 or 1 1;1
895;( ( 5 or 3 ) and ( 2 or 2 ) );and or 5 3 or 2 2;2
896;( 1 and ( 5 or 2 ) );and 1 or 5 2;1
897;( not 3 and ( 3 or 5 ) );and not 3 or 3 5;5
898;( ( 1 or 1 ) or 1 );or or 1 1 1;1
899;( ( 1 and 3 ) or ( 4 and 3 ) );or and 1 3 and 4 3;3
900;( ( 5 or 1 ) and ( 5 or 5 ) );and or 5 1 or 5 5;5
901;( ( 5 or 2 ) and ( 5 or 5 ) );and or 5 2 or 5 5;5
902;( 4 or ( 3 and 4 ) );or 4 and 3 4;4
903;( ( 4 or 5 ) and 5 );and or 4 5 5;5
904;( ( 2 or 2 ) or ( 3 and 2 ) );or or 2 2 and 3 2;2
905;( ( 2 or 3 ) and ( 1 or 1 ) );and or 2 3 or 1 1;1
906;( ( 1 or 1 ) and ( 4 or 2 ) );and or 1 1 or 4 2;1
907;( ( 1 or 1 ) or ( 1 and 4 ) );or or 1 1 and 1 4;1
908;( ( 2 or 2 ) and ( 3 or 5 ) );and or 2 2 or 3 5;2
909;( ( 3 and 3 ) and ( 1 or 5 ) );and and 3 3 or 1 5;3
910;( ( 4 and 4 ) or ( 4 or 4 ) );or and 4 4 or 4 4;4
911;( ( 4 or 2 ) and ( 2 and 2 ) );and or 4 2 and 2 2;2
912;( ( 5 or 1 ) and ( 1 or 1 ) );and or 5 1 or 1 1;1
913;( ( 1 and 2 ) or ( 2 and 3 ) );or and 1 2 and 2 3;2
914;( 3 and ( 1 or 4 ) );and 3 or 1 4;3
915;( ( 2 and 3 ) or ( 3 and 1 ) );or and 2 3 and 3 1;3
916;( ( 5 and 5 ) and ( 3 or 4 ) );and and 5 5 or 3 4;5
917;( ( 4 or 1 ) and 3 );and or 4 1 3;3
918;( ( 5 or 2 ) and ( 3 and 3 ) );and or 5 2 and 3 3;3
919;( ( 1 and 5 ) or 5 );or and 1 5 5;5
920;( ( 2 or 5 ) and 3 );and or 2 5 3;3
921;( ( 2 and 3 ) or ( 1 and 2 ) );or and 2 3 and 1 2;2
922;( ( 2 and 2 ) or ( 2 and 2 ) );or and 2 2 and 2 2;2
923;( ( 1 or 1 ) and ( 3 or 2 ) );and or 1 1 or 3 2;1
924;( ( 5 and 5 ) and ( 1 or 5 ) );and and 5 5 or 1 5;5
925;( ( 2 or 4 ) and ( 5 and 5 ) );and or 2 4 and 5 5;5
926;( 1 and ( 5 or 1 ) );and 1 or 5 1;1
927;( ( 3 or 1 ) and ( 5 and 5 ) );and or 3 1 and 5 5;5
928;( ( 5 and 2 ) or 5 );or and 5 2 5;5
929;( ( 3 and 5 ) or ( 4 and 5 ) );or and 3 5 and 4 5;5
930;( ( 1 or 1 ) and ( 1 or 3 ) );and or 1 1 or 1 3;1
931;( ( 1 and 1 ) and 1 );and and 1 1 1;1
932;( ( 5 and 5 ) and ( 1 or 2 ) );and and 5 5 or 1 2;5
933;( 2 or ( 2 and 1 ) );or 2 and 2 1;2
934;( ( 3 and 1 ) or ( 5 and 3 ) );or and 3 1 and 5 3;3
935;( ( 2 or 5 ) and ( 1 or 1 ) );and or 2 5 or 1 1;1
936;( ( 1 or 2 ) and ( 1 or 1 ) );and or 1 2 or 1 1;1
937;( ( 3 or 1 ) and ( 2 or 2 ) );and or 3 1 or 2 2;2
938;( ( 3 or 3 ) or 3 );or or 3 3 3;3
939;( ( 4 and 2 ) or ( 1 and 4 ) );or and 4 2 and 1 4;4
940;( ( 5 or 1 ) and 2 );and or 5 1 2;2
941;( 3 or ( 3 and 3 ) );or 3 and 3 3;3
942;( ( 5 and 4 ) or ( 5 and 2 ) );or and 5 4 and 5 2;5
943;( ( 1 or 5 ) and ( 3 or 3 ) );and or 1 5 or 3 3;3
944;( 4 or ( 5 and 4 ) );or 4 and 5 4;4
945;( ( 2 or 2 ) and ( 4 or 1 ) );and or 2 2 or 4 1;2
946;( ( 4 and 2 ) or 2 );or and 4 2 2;2
947;( ( 5 and 5 ) and ( 4 or 2 ) );and and 5 5 or 4 2;5
948;( ( 2 and 2 ) and ( 2 or 4 ) );and and 2 2 or 2 4;2
949;( ( 2 and 3 ) or ( 2 or 2 ) );or and 2 3 or 2 2;2
950;( not 4 and ( 5 and 5 ) );and not 4 and 5 5;5
951;( ( 3 or 5 ) and 3 );and or 3 5 3;3
952;( 5 and ( 2 or 4 ) );and 5 or 2 4;5
953;( ( 1 or 1 ) and ( 2 or 5 ) );and or 1 1 or 2 5;1
954;( 1 and ( 3 or 1 ) );and 1 or 3 1;1
955;( ( 5 or 1 ) and ( 1 and 1 ) );and or 5 1 and 1 1;1
956;( ( 5 or 2 ) and ( 1 or 1 ) );and or 5 2 or 1 1;1
957;( ( 2 or 4 ) and 5 );and or 2 4 5;5
958;( ( 4 or 5 ) and 1 );and or 4 5 1;1
959;( ( 1 or 3 ) and ( 5 and 5 ) );and or 1 3 and 5 5;5
960;( ( 3 and 2 ) or ( 3 and 3 ) );or and 3 2 and 3 3;3
961;( 4 and ( 4 or 1 ) );and 4 or 4 1;4
962;( ( 2 and 5 ) or ( 2 and 3 ) );or and 2 5 and 2 3;2
963;( ( 1 and 1 ) or ( 2 and 1 ) );or and 1 1 and 2 1;1
964;( ( 4 and 5 ) or ( 5 and 5 ) );or and 4 5 and 5 5;5
965;( ( 3 and 3 ) and ( 1 or 2 ) );and and 3 3 or 1 2;3
966;( 2 or ( 1 and 2 ) );or 2 and 1 2;2
967;( ( 3 and 4 ) or ( 4 and 1 ) );or and 3 4 and 4 1;4
968;( ( 2 and 1 ) or ( 4 and 2 ) );or and 2 1 and 4 2;2
969;( ( 1 and 3 ) or ( 4 and 1 ) );or and 1 3 and 4 1;1
970;( ( 2 and 1 ) or ( 2 or 2 ) );or and 2 1 or 2 2;2
971;( ( 3 and 4 ) or ( 4 and 2 ) );or and 3 4 and 4 2;4
972;( ( 3 and 5 ) or ( 5 and 5 ) );or and 3 5 and 5 5;5
973;( ( 1 or 3 ) and 5 );and or 1 3 5;5
974;( ( 3 or 3 ) and ( 2 or 1 ) );and or 3 3 or 2 1;3
975;( ( 4 and 3 ) or ( 2 and 4 ) );or and 4 3 and 2 4;4
976;( ( 3 and 3 ) and ( 3 and 3 ) );and and 3 3 and 3 3;3
977;( ( 4 and 5 ) or 5 );or and 4 5 5;5
978;( ( 3 or 3 ) or ( 1 and 3 ) );or or 3 3 and 1 3;3
979;( 5 and ( 4 or 1 ) );and 5 or 4 1;5
980;( ( 5 or 5 ) or ( 5 and 5 ) );or or 5 5 and 5 5;5
981;( ( 4 and 3 ) or ( 3 and 5 ) );or and 4 3 and 3 5;3
982;( ( 3 or 3 ) or ( 3 or 3 ) );or or 3 3 or 3 3;3
983;( ( 2 or 3 ) and ( 2 and 2 ) );and or 2 3 and 2 2;2
984;( 3 and ( 5 or 4 ) );and 3 or 5 4;3
985;( ( 3 or 3 ) and ( 3 or 3 ) );and or 3 3 or 3 3;3
986;( ( 2 or 2 ) or ( 2 or 2 ) );or or 2 2 or 2 2;2
987;( ( 3 or 3 ) or ( 3 and 2 ) );or or 3 3 and 3 2;3
988;( ( 1 and 1 ) and ( 3 or 2 ) );and and 1 1 or 3 2;1
989;( ( 1 and 4 ) or ( 1 or 1 ) );or and 1 4 or 1 1;1
990;( ( 3 or 5 ) and ( 1 or 1 ) );and or 3 5 or 1 1;1
991;( ( 5 or 2 ) and 2 );and or 5 2 2;2
992;( ( 4 and 4 ) or ( 4 and 4 ) );or and 4 4 and 4 4;4
993;( ( 4 or 4 ) or 4 );or or 4 4 4;4
994;( 3 or ( 2 and 3 ) );or 3 and 2 3;3
995;( ( 4 and 4 ) or ( 4 and 2 ) );or and 4 4 and 4 2;4
996;( ( 4 and 4 ) or 4 );or and 4 4 4;4
997;( ( 4 and 1 ) or 4 );or and 4 1 4;4
998;( ( 3 or 2 ) and 5 );and or 3 2 5;5
999;( 4 and ( 1 or 4 ) );and 4 or 1 4;4
1000;( not 2 and ( 3 and 3 ) );and not 2 and 3 3;3
1001;( ( 1 or 1 ) or ( 5 and 1 ) );or or 1 1 and 5 1;1
1002;( ( 5 and 2 ) or ( 1 and 2 ) );or and 5 2 and 1 2;2
1003;( 4 or ( 1 and 4 ) );or 4 and 1 4;4
1004;( ( 4 and 5 ) or ( 1 and 4 ) );or and 4 5 and 1 4;4
1005;( ( 3 and 1 ) or ( 4 and 1 ) );or and 3 1 and 4 1;1
1006;( 5 or ( 4 and 5 ) );or 5 and 4 5;5
1007;( ( 3 and 1 ) or ( 4 and 3 ) );or and 3 1 and 4 3;3
1008;( 3 and ( 4 or 3 ) );and 3 or 4 3;3
1009;( ( 2 and 2 ) or ( 4 and 2 ) );or and 2 2 and 4 2;2
1010;( ( 4 or 4 ) and ( 2 or 5 ) );and or 4 4 or 2 5;4
1011;( ( 2 or 2 ) and ( 5 or 2 ) );and or 2 2 or 5 2;2
1012;( ( 3 and 4 ) or ( 4 or 4 ) );or and 3 4 or 4 4;4
1013;( ( 2 and 1 ) or ( 2 and 2 ) );or and 2 1 and 2 2;2
1014;( 2 or ( 2 and 3 ) );or 2 and 2 3;2
1015;( ( 3 or 2 ) and ( 2 and 2 ) );and or 3 2 and 2 2;2
1016;( ( 3 and 5 ) or ( 3 and 2 ) );or and 3 5 and 3 2;3
1017;( ( 5 and 3 ) or ( 5 and 1 ) );or and 5 3 and 5 1;5
1018;( ( 5 or 5 ) and ( 4 or 3 ) );and or 5 5 or 4 3;5
1019;( ( 3 or 3 ) or ( 3 and 3 ) );or or 3 3 and 3 3;3
1020;( ( 5 or 5 ) or ( 5 and 1 ) );or or 5 5 and 5 1;5
1021;( ( 4 and 4 ) or ( 2 and 4 ) );or and 4 4 and 2 4;4
1022;( ( 5 or 1 ) and ( 2 and 2 ) );and or 5 1 and 2 2;2
1023;( ( 5 and 2 ) or 2 );or and 5 2 2;2
1024;( ( 4 or 4 ) or ( 4 and 1 ) );or or 4 4 and 4 1;4
1025;( ( 2 and 5 ) or ( 1 and 5 ) );or and 2 5 and 1 5;5
1026;( ( 5 or 1 ) and 3 );and or 5 1 3;3
1027;( ( 3 or 1 ) and 4 );and or 3 1 4;4
1028;( ( 1 or 1 ) or ( 2 and 1 ) );or or 1 1 and 2 1;1
1029;( ( 2 and 2 ) and ( 2 or 5 ) );and and 2 2 or 2 5;2
1030;( ( 3 and 3 ) and ( 2 or 4 ) );and and 3 3 or 2 4;3
1031;( ( 3 and 4 ) or 4 );or and 3 4 4;4
1032;( ( 5 or 4 ) and 4 );and or 5 4 4;4
1033;( ( 5 and 1 ) or ( 1 and 1 ) );or and 5 1 and 1 1;1
1034;( ( 2 or 2 ) or ( 2 and 5 ) );or or 2 2 and 2 5;2
1035;( ( 2 and 3 ) or ( 4 and 3 ) );or and 2 3 and 4 3;3
1036;( ( 3 or 5 ) and 4 );and or 3 5 4;4
1037;( ( 1 or 1 ) and ( 1 or 2 ) );and or 1 1 or 1 2;1
1038;( 1 or ( 2 and 1 ) );or 1 and 2 1;1
1039;( ( 3 and 3 ) and ( 3 or 4 ) );and and 3 3 or 3 4;3
1040;( 3 or ( 3 and 1 ) );or 3 and 3 1;3
1041;( ( 1 or 1 ) and 1 );and or 1 1 1;1
1042;( ( 1 and 1 ) and ( 5 or 3 ) );and and 1 1 or 5 3;1
1043;( ( 2 or 2 ) or ( 2 and 3 ) );or or 2 2 and 2 3;2
1044;( ( 3 and 4 ) or ( 2 and 3 ) );or and 3 4 and 2 3;3
1045;( ( 4 and 5 ) or ( 1 and 5 ) );or and 4 5 and 1 5;5
1046;( ( 1 and 4 ) or ( 4 and 5 ) );or and 1 4 and 4 5;4
1047;( ( 5 and 2 ) or ( 2 and 4 ) );or and 5 2 and 2 4;2
1048;( 5 and ( 5 or 2 ) );and 5 or 5 2;5
1049;( 3 and ( 3 and 3 ) );and 3 and 3 3;3
1050;( ( 2 or 1 ) and ( 2 or 2 ) );and or 2 1 or 2 2;2
1051;( ( 1 and 2 ) or ( 2 or 2 ) );or and 1 2 or 2 2;2
1052;( ( 5 or 1 ) and ( 3 or 3 ) );and or 5 1 or 3 3;3
1053;( 5 and ( 5 and 5 ) );and 5 and 5 5;5
1054;( ( 5 and 4 ) or ( 4 and 4 ) );or and 5 4 and 4 4;4
1055;( ( 4 or 5 ) and ( 1 and 1 ) );and or 4 5 and 1 1;1
1056;( ( 1 and 2 ) or ( 1 and 4 ) );or and 1 2 and 1 4;1
1057;( ( 2 and 4 ) or ( 4 or 4 ) );or and 2 4 or 4 4;4
1058;( ( 2 or 4 ) and ( 1 and 1 ) );and or 2 4 and 1 1;1
1059;( 1 or ( 3 and 1 ) );or 1 and 3 1;1
1060;( 1 and ( 2 or 4 ) );and 1 or 2 4;1
1061;( ( 1 or 1 ) or ( 1 and 2 ) );or or 1 1 and 1 2;1
1062;( ( 1 and 1 ) and ( 1 or 2 ) );and and 1 1 or 1 2;1
1063;( ( 2 or 2 ) and ( 1 or 3 ) );and or 2 2 or 1 3;2
1064;( ( 3 or 4 ) and ( 4 and 4 ) );and or 3 4 and 4 4;4
1065;( 5 and ( 4 or 2 ) );and 5 or 4 2;5
1066;( ( 2 or 2 ) and ( 2 or 5 ) );and or 2 2 or 2 5;2
1067;( ( 4 and 1 ) or ( 4 and 2 ) );or and 4 1 and 4 2;4
1068;( 2 and ( 3 or 2 ) );and 2 or 3 2;2
1069;( ( 4 or 4 ) and ( 4 or 5 ) );and or 4 4 or 4 5;4
1070;( 1 or ( 1 and 1 ) );or 1 and 1 1;1
1071;( ( 3 or 3 ) and ( 1 or 5 ) );and or 3 3 or 1 5;3
1072;( ( 1 or 4 ) and ( 4 and 4 ) );and or 1 4 and 4 4;4
1073;( ( 2 and 5 ) or ( 1 and 2 ) );or and 2 5 and 1 2;2
1074;( ( 1 or 5 ) and 1 );and or 1 5 1;1
1075;( ( 4 and 3 ) or ( 4 and 4 ) );or and 4 3 and 4 4;4
1076;( ( 4 and 3 ) or ( 4 and 5 ) );or and 4 3 and 4 5;4
1077;( ( 1 or 5 ) and 4 );and or 1 5 4;4
1078;( ( 2 or 2 ) and ( 4 or 5 ) );and or 2 2 or 4 5;2
1079;( ( 5 and 5 ) and ( 5 or 2 ) );and and 5 5 or 5 2;5
1080;( ( 5 or 1 ) and ( 4 and 4 ) );and or 5 1 and 4 4;4
1081;( ( 1 and 1 ) and ( 2 or 3 ) );and and 1 1 or 2 3;1
1082;( 4 and ( 2 or 5 ) );and 4 or 2 5;4
1083;( 2 or ( 3 and 2 ) );or 2 and 3 2;2
1084;( ( 1 or 5 ) and ( 4 or 4 ) );and or 1 5 or 4 4;4
1085;( ( 4 or 4 ) and ( 3 or 1 ) );and or 4 4 or 3 1;4
1086;( 1 or ( 1 and 3 ) );or 1 and 1 3;1
1087;( ( 2 and 2 ) and ( 5 or 2 ) );and and 2 2 or 5 2;2
1088;( ( 1 or 3 ) and ( 4 or 4 ) );and or 1 3 or 4 4;4
1089;( ( 4 or 5 ) and ( 5 or 5 ) );and or 4 5 or 5 5;5
1090;( ( 3 and 2 ) or ( 3 and 4 ) );or and 3 2 and 3 4;3
1091;( ( 4 or 1 ) and 2 );and or 4 1 2;2
1092;( ( 5 and 1 ) or ( 5 and 5 ) );or and 5 1 and 5 5;5
1093;( ( 5 and 2 ) or ( 5 or 5 ) );or and 5 2 or 5 5;5
1094;( ( 3 and 3 ) and ( 2 or 3 ) );and and 3 3 or 2 3;3
1095;( ( 4 and 3 ) or ( 1 and 3 ) );or and 4 3 and 1 3;3
1096;( ( 1 or 5 ) and ( 5 and 5 ) );and or 1 5 and 5 5;5
1097;( ( 1 or 2 ) and ( 5 and 5 ) );and or 1 2 and 5 5;5
1098;( ( 5 or 2 ) and ( 2 or 2 ) );and or 5 2 or 2 2;2
1099;( 2 and ( 5 or 4 ) );and 2 or 5 4;2
1100;( ( 2 and 2 ) or ( 2 and 1 ) );or and 2 2 and 2 1;2
1101;( ( 2 or 1 ) and 1 );and or 2 1 1;1
1102;( 4 and ( 5 or 4 ) );and 4 or 5 4;4
1103;( ( 1 or 1 ) and ( 4 or 5 ) );and or 1 1 or 4 5;1
1104;( ( 5 or 3 ) and ( 4 or 4 ) );and or 5 3 or 4 4;4
1105;( ( 5 or 5 ) or ( 5 or 5 ) );or or 5 5 or 5 5;5
1106;( ( 5 and 2 ) or ( 4 and 5 ) );or and 5 2 and 4 5;5
1107;( ( 2 and 4 ) or 2 );or and 2 4 2;2
1108;( ( 4 or 4 ) and ( 1 or 4 ) );and or 4 4 or 1 4;4
1109;( ( 4 and 1 ) or ( 2 and 4 ) );or and 4 1 and 2 4;4
1110;( ( 2 and 2 ) and ( 1 or 2 ) );and and 2 2 or 1 2;2
1111;( ( 2 or 2 ) or ( 2 and 2 ) );or or 2 2 and 2 2;2
1112;( 5 and ( 3 or 4 ) );and 5 or 3 4;5
1113;( ( 4 and 4 ) and ( 3 or 2 ) );and and 4 4 or 3 2;4
1114;( ( 4 and 3 ) or ( 4 and 1 ) );or and 4 3 and 4 1;4
1115;( ( 4 or 1 ) and ( 3 or 3 ) );and or 4 1 or 3 3;3
1116;( ( 4 and 4 ) or ( 4 and 3 ) );or and 4 4 and 4 3;4
1117;( 5 or ( 5 or 5 ) );or 5 or 5 5;5
1118;( ( 4 and 5 ) or ( 3 and 4 ) );or and 4 5 and 3 4;4
1119;( ( 1 or 2 ) and 2 );and or 1 2 2;2
1120;( ( 5 and 1 ) or 5 );or and 5 1 5;5
1121;( ( 4 and 4 ) and ( 1 or 5 ) );and and 4 4 or 1 5;4
1122;( 4 and ( 2 or 4 ) );and 4 or 2 4;4
1123;( ( 5 or 3 ) and ( 2 and 2 ) );and or 5 3 and 2 2;2
1124;( ( 3 and 2 ) or ( 5 and 3 ) );or and 3 2 and 5 3;3
1125;( 3 and ( 2 or 4 ) );and 3 or 2 4;3
1126;( ( 5 or 5 ) or ( 2 and 5 ) );or or 5 5 and 2 5;5
1127;( ( 5 and 5 ) and ( 5 and 5 ) );and and 5 5 and 5 5;5
1128;( ( 2 and 5 ) or ( 5 and 4 ) );or and 2 5 and 5 4;5
1129;( ( 1 or 1 ) or ( 1 and 3 ) );or or 1 1 and 1 3;1
1130;( ( 3 or 2 ) and ( 1 or 1 ) );and or 3 2 or 1 1;1
1131;( ( 5 or 2 ) and ( 4 and 4 ) );and or 5 2 and 4 4;4
1132;( ( 4 or 2 ) and ( 1 and 1 ) );and or 4 2 and 1 1;1
1133;( 4 and ( 4 or 4 ) );and 4 or 4 4;4
1134;( ( 3 or 4 ) and ( 2 and 2 ) );and or 3 4 and 2 2;2
1135;( ( 1 and 4 ) or ( 5 and 1 ) );or and 1 4 and 5 1;1
1136;( ( 3 and 2 ) or ( 3 or 3 ) );or and 3 2 or 3 3;3
1137;( 3 and ( 1 or 3 ) );and 3 or 1 3;3
