;infix;prefix;conclusion
692;( 2 and 3 ) sep ( 1 and 4 );sep and 2 3 and 1 4;TTTTn
693;( 2 or 2 ) sep not 4;sep or 2 2 not 4;nTnFn
694;not 2 sep ( 1 or 2 );sep not 2 or 1 2;TFnnn
695;( 4 or 3 ) sep ( 5 or 4 );sep or 4 3 or 5 4;nnnTn,nnTnT
696;( 3 or 3 ) sep ( 1 and 3 );sep or 3 3 and 1 3;TnTnn
697;4 sep ( 1 and 5 );sep 4 and 1 5;TnnTT
698;( 3 and 2 ) sep 5;sep and 3 2 5;nTTnT
699;( 3 and 1 ) sep ( 1 and 5 );sep and 3 1 and 1 5;TnTnT
700;( 2 or 3 ) sep ( 5 and 5 );sep or 2 3 and 5 5;nnTnT,nTnnT
701;( 5 or 2 ) sep 5;sep or 5 2 5;nnnnT
702;( 5 or 3 ) sep ( 2 or 3 );sep or 5 3 or 2 3;nnTnn,nTnnT
703;( 5 or 3 ) sep not 1;sep or 5 3 not 1;FnnnT,FnTnn
704;( 1 or 2 ) sep not 1;sep or 1 2 not 1;FTnnn
705;( 5 or 5 ) sep ( 4 and 2 );sep or 5 5 and 4 2;nTnTT
706;( 4 and 1 ) sep 5;sep and 4 1 5;TnnTT
707;( 2 and 5 ) sep 1;sep and 2 5 1;TTnnT
708;( 1 and 5 ) sep ( 2 or 4 );sep and 1 5 or 2 4;TnnTT,TTnnT
709;( 3 or 5 ) sep ( 4 and 4 );sep or 3 5 and 4 4;nnnTT,nnTTn
710;( 1 or 3 ) sep ( 1 or 5 );sep or 1 3 or 1 5;nnTnT,Tnnnn
711;( 2 and 1 ) sep ( 2 or 1 );sep and 2 1 or 2 1;TTnnn
712;( 4 or 4 ) sep not 3;sep or 4 4 not 3;nnFTn
713;( 5 and 3 ) sep 5;sep and 5 3 5;nnTnT
714;( 1 or 4 ) sep ( 2 and 1 );sep or 1 4 and 2 1;TTnnn
715;( 2 or 1 ) sep 2;sep or 2 1 2;nTnnn
716;( 5 or 1 ) sep ( 5 and 4 );sep or 5 1 and 5 4;nnnTT
717;( 2 or 5 ) sep ( 1 and 5 );sep or 2 5 and 1 5;TnnnT
718;( 5 and 4 ) sep ( 5 and 3 );sep and 5 4 and 5 3;nnTTT
719;( 4 or 2 ) sep not 2;sep or 4 2 not 2;nFnTn
720;not 1 sep 5;sep not 1 5;FnnnT
721;not 3 sep ( 1 or 4 );sep not 3 or 1 4;nnFTn,TnFnn
722;( 5 or 3 ) sep ( 3 or 2 );sep or 5 3 or 3 2;nnTnn,nTnnT
723;( 5 and 2 ) sep ( 2 and 5 );sep and 5 2 and 2 5;nTnnT
724;( 3 and 5 ) sep ( 4 and 3 );sep and 3 5 and 4 3;nnTTT
