;infix;prefix;conclusion
1837;2 sep ( 5 or 2 );sep 2 or 5 2;nTnnn
1838;2 sep ( 4 and 5 );sep 2 and 4 5;nTnTT
1839;( 4 or 2 ) sep ( 1 and 5 );sep or 4 2 and 1 5;TnnTT,TTnnT
1840;( 5 and 5 ) sep ( 2 or 5 );sep and 5 5 or 2 5;nnnnT
1841;( 3 or 4 ) sep ( 4 and 3 );sep or 3 4 and 4 3;nnTTn
1842;( 4 and 1 ) sep ( 2 or 5 );sep and 4 1 or 2 5;TnnTT,TTnTn
1843;( 3 or 5 ) sep ( 5 or 4 );sep or 3 5 or 5 4;nnnnT,nnTTn
1844;( 5 or 2 ) sep ( 3 or 2 );sep or 5 2 or 3 2;nnTnT,nTnnn
1845;3 sep ( 3 or 1 );sep 3 or 3 1;nnTnn
1846;3 sep ( 5 and 1 );sep 3 and 5 1;TnTnT
1847;not 3 sep ( 1 or 3 );sep not 3 or 1 3;TnFnn
1848;( 1 and 4 ) sep ( 5 or 2 );sep and 1 4 or 5 2;TnnTT,TTnTn
1849;not 3 sep 5;sep not 3 5;nnFnT
1850;( 5 or 1 ) sep ( 5 or 1 );sep or 5 1 or 5 1;nnnnT,Tnnnn
1851;( 2 and 1 ) sep ( 2 and 5 );sep and 2 1 and 2 5;TTnnT
1852;( 2 or 5 ) sep ( 4 or 5 );sep or 2 5 or 4 5;nnnnT,nTnTn
1853;( 1 and 4 ) sep ( 4 or 3 );sep and 1 4 or 4 3;TnnTn
1854;( 3 or 1 ) sep ( 1 or 1 );sep or 3 1 or 1 1;Tnnnn
1855;( 1 and 1 ) sep ( 3 or 3 );sep and 1 1 or 3 3;TnTnn
1856;4 sep ( 1 or 3 );sep 4 or 1 3;nnTTn,TnnTn
1857;4 sep ( 4 and 4 );sep 4 and 4 4;nnnTn
1858;( 1 and 5 ) sep ( 5 or 1 );sep and 1 5 or 5 1;TnnnT
1859;( 4 or 5 ) sep 2;sep or 4 5 2;nTnnT,nTnTn
1860;( 5 or 1 ) sep ( 1 or 4 );sep or 5 1 or 1 4;nnnTT,Tnnnn
1861;( 2 and 5 ) sep ( 2 or 5 );sep and 2 5 or 2 5;nTnnT
1862;( 1 and 4 ) sep ( 4 or 4 );sep and 1 4 or 4 4;TnnTn
1863;( 1 and 3 ) sep ( 3 and 2 );sep and 1 3 and 3 2;TTTnn
1864;( 3 or 4 ) sep ( 3 and 1 );sep or 3 4 and 3 1;TnTnn
1865;( 5 or 3 ) sep ( 1 and 4 );sep or 5 3 and 1 4;TnnTT,TnTTn
1866;( 1 and 5 ) sep ( 3 and 5 );sep and 1 5 and 3 5;TnTnT
1867;( 3 or 5 ) sep ( 2 or 2 );sep or 3 5 or 2 2;nTnnT,nTTnn
1868;( 3 and 5 ) sep ( 2 or 1 );sep and 3 5 or 2 1;nTTnT,TnTnT
1869;( 2 and 5 ) sep ( 2 and 3 );sep and 2 5 and 2 3;nTTnT
1870;( 2 and 5 ) sep ( 3 and 3 );sep and 2 5 and 3 3;nTTnT
1871;( 1 or 3 ) sep 5;sep or 1 3 5;nnTnT,TnnnT
1872;( 2 and 1 ) sep 5;sep and 2 1 5;TTnnT
1873;( 3 or 5 ) sep ( 4 and 3 );sep or 3 5 and 4 3;nnTTn
1874;5 sep ( 4 or 3 );sep 5 or 4 3;nnnTT,nnTnT
1875;( 4 and 5 ) sep ( 4 and 3 );sep and 4 5 and 4 3;nnTTT
1876;( 4 or 1 ) sep ( 5 and 2 );sep or 4 1 and 5 2;nTnTT,TTnnT
1877;( 2 or 2 ) sep ( 3 or 3 );sep or 2 2 or 3 3;nTTnn
1878;( 1 or 2 ) sep 1;sep or 1 2 1;Tnnnn
1879;( 4 and 5 ) sep ( 2 or 3 );sep and 4 5 or 2 3;nnTTT,nTnTT
1880;( 4 and 1 ) sep ( 3 or 5 );sep and 4 1 or 3 5;TnnTT,TnTTn
1881;1 sep ( 2 or 3 );sep 1 or 2 3;TnTnn,TTnnn
1882;( 3 or 5 ) sep 1;sep or 3 5 1;TnnnT,TnTnn
1883;( 3 or 5 ) sep ( 5 or 2 );sep or 3 5 or 5 2;nnnnT,nTTnn
1884;( 5 or 4 ) sep ( 5 and 5 );sep or 5 4 and 5 5;nnnnT
1885;( 4 or 2 ) sep ( 4 and 3 );sep or 4 2 and 4 3;nnTTn
1886;( 2 or 4 ) sep ( 1 or 4 );sep or 2 4 or 1 4;nnnTn,TTnnn
1887;5 sep ( 5 or 3 );sep 5 or 5 3;nnnnT
1888;( 3 or 2 ) sep ( 3 and 5 );sep or 3 2 and 3 5;nnTnT
1889;( 5 and 5 ) sep ( 3 and 4 );sep and 5 5 and 3 4;nnTTT
1890;( 4 or 3 ) sep ( 4 or 4 );sep or 4 3 or 4 4;nnnTn
1891;( 1 or 5 ) sep 1;sep or 1 5 1;Tnnnn
1892;( 3 or 3 ) sep 2;sep or 3 3 2;nTTnn
1893;5 sep ( 5 and 3 );sep 5 and 5 3;nnTnT
1894;( 5 or 1 ) sep 3;sep or 5 1 3;nnTnT,TnTnn
1895;( 4 or 1 ) sep 2;sep or 4 1 2;nTnTn,TTnnn
1896;( 2 and 4 ) sep ( 3 or 2 );sep and 2 4 or 3 2;nTnTn
1897;( 1 or 4 ) sep ( 4 and 5 );sep or 1 4 and 4 5;nnnTT
1898;( 2 or 2 ) sep 5;sep or 2 2 5;nTnnT
1899;( 3 and 3 ) sep ( 5 or 2 );sep and 3 3 or 5 2;nnTnT,nTTnn
1900;2 sep ( 3 and 1 );sep 2 and 3 1;TTTnn
1901;( 4 and 3 ) sep ( 3 or 5 );sep and 4 3 or 3 5;nnTTn
1902;( 2 or 4 ) sep ( 1 or 2 );sep or 2 4 or 1 2;nTnnn,TnnTn
1903;( 3 and 1 ) sep ( 1 or 5 );sep and 3 1 or 1 5;TnTnn
1904;( 1 or 4 ) sep ( 4 or 2 );sep or 1 4 or 4 2;nnnTn,TTnnn
1905;( 4 and 4 ) sep ( 5 and 3 );sep and 4 4 and 5 3;nnTTT
1906;( 3 or 1 ) sep ( 1 and 3 );sep or 3 1 and 1 3;TnTnn
1907;( 3 and 3 ) sep not 4;sep and 3 3 not 4;nnTFn
1908;( 1 and 1 ) sep ( 1 or 3 );sep and 1 1 or 1 3;Tnnnn
1909;( 4 or 5 ) sep ( 5 or 3 );sep or 4 5 or 5 3;nnnnT,nnTTn
1910;( 2 and 1 ) sep ( 1 and 3 );sep and 2 1 and 1 3;TTTnn
1911;( 4 or 2 ) sep ( 1 or 3 );sep or 4 2 or 1 3;nnTTn,nTTnn,TnnTn,TTnnn
1912;( 2 and 5 ) sep ( 2 and 4 );sep and 2 5 and 2 4;nTnTT
1913;( 4 and 4 ) sep ( 3 and 5 );sep and 4 4 and 3 5;nnTTT
1914;( 5 and 3 ) sep ( 2 and 5 );sep and 5 3 and 2 5;nTTnT
1915;2 sep ( 2 or 2 );sep 2 or 2 2;nTnnn
1916;( 3 and 1 ) sep ( 5 or 5 );sep and 3 1 or 5 5;TnTnT
1917;( 5 and 2 ) sep ( 1 or 2 );sep and 5 2 or 1 2;nTnnT
1918;( 3 or 5 ) sep 2;sep or 3 5 2;nTnnT,nTTnn
1919;( 2 or 2 ) sep ( 1 and 2 );sep or 2 2 and 1 2;TTnnn
1920;( 3 or 1 ) sep ( 3 and 2 );sep or 3 1 and 3 2;nTTnn
1921;( 3 or 3 ) sep ( 2 or 3 );sep or 3 3 or 2 3;nnTnn
1922;( 5 and 3 ) sep ( 4 and 3 );sep and 5 3 and 4 3;nnTTT
1923;( 3 or 2 ) sep ( 2 and 5 );sep or 3 2 and 2 5;nTnnT
1924;4 sep ( 1 and 2 );sep 4 and 1 2;TTnTn
1925;( 4 and 2 ) sep ( 4 and 3 );sep and 4 2 and 4 3;nTTTn
1926;( 3 or 1 ) sep ( 2 and 4 );sep or 3 1 and 2 4;nTTTn,TTnTn
1927;( 5 and 2 ) sep ( 3 and 1 );sep and 5 2 and 3 1;TTTnT
1928;3 sep ( 3 and 5 );sep 3 and 3 5;nnTnT
1929;( 2 and 4 ) sep ( 5 or 2 );sep and 2 4 or 5 2;nTnTn
1930;not 4 sep ( 2 or 1 );sep not 4 or 2 1;nTnFn,TnnFn
1931;( 5 and 4 ) sep 3;sep and 5 4 3;nnTTT
1932;( 4 and 5 ) sep ( 2 and 4 );sep and 4 5 and 2 4;nTnTT
1933;1 sep ( 2 or 2 );sep 1 or 2 2;TTnnn
1934;( 1 and 1 ) sep ( 3 or 5 );sep and 1 1 or 3 5;TnnnT,TnTnn
1935;5 sep ( 4 and 3 );sep 5 and 4 3;nnTTT
1936;( 2 and 2 ) sep ( 1 and 2 );sep and 2 2 and 1 2;TTnnn
1937;( 2 and 4 ) sep ( 2 and 4 );sep and 2 4 and 2 4;nTnTn
1938;( 5 and 4 ) sep ( 4 or 1 );sep and 5 4 or 4 1;nnnTT
1939;( 1 or 1 ) sep ( 5 or 1 );sep or 1 1 or 5 1;Tnnnn
1940;( 2 and 2 ) sep ( 3 or 3 );sep and 2 2 or 3 3;nTTnn
1941;3 sep 5;sep 3 5;nnTnT
1942;( 1 and 5 ) sep ( 3 or 3 );sep and 1 5 or 3 3;TnTnT
1943;( 2 and 3 ) sep ( 4 and 1 );sep and 2 3 and 4 1;TTTTn
1944;( 3 or 3 ) sep 4;sep or 3 3 4;nnTTn
1945;( 3 or 2 ) sep ( 5 or 4 );sep or 3 2 or 5 4;nnTnT,nnTTn,nTnnT,nTnTn
1946;( 4 and 5 ) sep ( 3 and 2 );sep and 4 5 and 3 2;nTTTT
1947;( 4 or 1 ) sep ( 1 and 5 );sep or 4 1 and 1 5;TnnnT
1948;( 2 or 1 ) sep ( 3 or 5 );sep or 2 1 or 3 5;nTnnT,nTTnn,TnnnT,TnTnn
1949;( 4 or 4 ) sep ( 4 or 5 );sep or 4 4 or 4 5;nnnTn
1950;( 1 and 4 ) sep ( 5 or 3 );sep and 1 4 or 5 3;TnnTT,TnTTn
1951;( 1 or 2 ) sep ( 2 and 3 );sep or 1 2 and 2 3;nTTnn
1952;( 3 or 3 ) sep ( 2 and 5 );sep or 3 3 and 2 5;nTTnT
1953;( 3 or 1 ) sep ( 3 or 5 );sep or 3 1 or 3 5;nnTnn,TnnnT
1954;( 2 or 3 ) sep ( 2 or 2 );sep or 2 3 or 2 2;nTnnn
1955;( 1 or 3 ) sep ( 2 or 1 );sep or 1 3 or 2 1;nTTnn,Tnnnn
1956;( 3 or 2 ) sep ( 4 or 3 );sep or 3 2 or 4 3;nnTnn,nTnTn
1957;( 3 or 2 ) sep ( 4 and 4 );sep or 3 2 and 4 4;nnTTn,nTnTn
1958;( 3 and 2 ) sep ( 3 and 3 );sep and 3 2 and 3 3;nTTnn
1959;( 4 or 1 ) sep ( 5 or 2 );sep or 4 1 or 5 2;nnnTT,nTnTn,TnnnT,TTnnn
1960;( 1 and 1 ) sep ( 1 or 4 );sep and 1 1 or 1 4;Tnnnn
1961;( 5 or 4 ) sep ( 5 or 5 );sep or 5 4 or 5 5;nnnnT
1962;( 5 or 3 ) sep ( 2 or 4 );sep or 5 3 or 2 4;nnnTT,nnTTn,nTnnT,nTTnn
1963;( 5 and 2 ) sep ( 3 or 2 );sep and 5 2 or 3 2;nTnnT
1964;( 5 and 3 ) sep ( 5 and 3 );sep and 5 3 and 5 3;nnTnT
1965;( 5 or 2 ) sep ( 5 or 4 );sep or 5 2 or 5 4;nnnnT,nTnTn
1966;4 sep ( 5 and 2 );sep 4 and 5 2;nTnTT
1967;1 sep ( 1 and 4 );sep 1 and 1 4;TnnTn
1968;( 4 and 4 ) sep 4;sep and 4 4 4;nnnTn
1969;( 5 and 4 ) sep ( 3 or 2 );sep and 5 4 or 3 2;nnTTT,nTnTT
1970;( 4 or 4 ) sep ( 5 and 5 );sep or 4 4 and 5 5;nnnTT
1971;not 1 sep ( 5 and 4 );sep not 1 and 5 4;FnnTT
1972;( 2 or 1 ) sep ( 4 and 3 );sep or 2 1 and 4 3;nTTTn,TnTTn
1973;( 1 or 4 ) sep ( 5 or 5 );sep or 1 4 or 5 5;nnnTT,TnnnT
1974;( 2 or 1 ) sep ( 4 or 4 );sep or 2 1 or 4 4;nTnTn,TnnTn
1975;5 sep ( 5 or 1 );sep 5 or 5 1;nnnnT
1976;( 1 or 4 ) sep ( 5 and 5 );sep or 1 4 and 5 5;nnnTT,TnnnT
1977;2 sep ( 3 or 3 );sep 2 or 3 3;nTTnn
1978;( 3 and 1 ) sep ( 3 and 1 );sep and 3 1 and 3 1;TnTnn
1979;( 1 or 4 ) sep ( 4 and 1 );sep or 1 4 and 4 1;TnnTn
1980;( 4 or 5 ) sep ( 4 and 4 );sep or 4 5 and 4 4;nnnTn
1981;2 sep ( 3 and 5 );sep 2 and 3 5;nTTnT
1982;( 1 or 2 ) sep ( 2 or 1 );sep or 1 2 or 2 1;nTnnn,Tnnnn
1983;( 1 or 4 ) sep ( 4 or 1 );sep or 1 4 or 4 1;nnnTn,Tnnnn
1984;1 sep ( 1 or 3 );sep 1 or 1 3;Tnnnn
1985;( 2 and 2 ) sep ( 2 or 1 );sep and 2 2 or 2 1;nTnnn
1986;( 4 and 5 ) sep ( 1 and 2 );sep and 4 5 and 1 2;TTnTT
1987;( 5 and 1 ) sep ( 4 and 5 );sep and 5 1 and 4 5;TnnTT
1988;( 4 and 4 ) sep ( 4 and 2 );sep and 4 4 and 4 2;nTnTn
1989;( 3 or 3 ) sep ( 5 and 2 );sep or 3 3 and 5 2;nTTnT
1990;( 5 or 3 ) sep ( 1 and 5 );sep or 5 3 and 1 5;TnnnT
1991;( 1 or 5 ) sep ( 1 or 4 );sep or 1 5 or 1 4;nnnTT,Tnnnn
1992;( 3 or 4 ) sep ( 4 or 2 );sep or 3 4 or 4 2;nnnTn,nTTnn
1993;( 5 or 3 ) sep ( 1 or 5 );sep or 5 3 or 1 5;nnnnT,TnTnn
1994;( 1 or 5 ) sep ( 5 or 5 );sep or 1 5 or 5 5;nnnnT
1995;( 5 and 3 ) sep ( 4 and 2 );sep and 5 3 and 4 2;nTTTT
1996;( 5 or 5 ) sep ( 1 or 2 );sep or 5 5 or 1 2;nTnnT,TnnnT
1997;( 2 or 1 ) sep ( 1 and 3 );sep or 2 1 and 1 3;TnTnn
1998;( 1 or 4 ) sep ( 2 and 2 );sep or 1 4 and 2 2;nTnTn,TTnnn
1999;( 2 or 2 ) sep ( 1 or 5 );sep or 2 2 or 1 5;nTnnT,TTnnn
2000;( 1 or 5 ) sep ( 4 or 5 );sep or 1 5 or 4 5;nnnnT,TnnTn
2001;( 1 or 3 ) sep ( 5 and 4 );sep or 1 3 and 5 4;nnTTT,TnnTT
2002;( 1 or 3 ) sep not 3;sep or 1 3 not 3;TnFnn
2003;( 1 or 3 ) sep ( 4 and 4 );sep or 1 3 and 4 4;nnTTn,TnnTn
2004;( 5 or 4 ) sep ( 2 and 1 );sep or 5 4 and 2 1;TTnnT,TTnTn
2005;( 2 and 4 ) sep ( 4 and 4 );sep and 2 4 and 4 4;nTnTn
2006;( 4 or 2 ) sep ( 1 and 3 );sep or 4 2 and 1 3;TnTTn,TTTnn
2007;( 2 and 3 ) sep ( 2 and 1 );sep and 2 3 and 2 1;TTTnn
2008;( 5 and 3 ) sep ( 5 and 5 );sep and 5 3 and 5 5;nnTnT
2009;( 3 and 2 ) sep ( 2 and 5 );sep and 3 2 and 2 5;nTTnT
2010;( 2 or 4 ) sep ( 3 and 5 );sep or 2 4 and 3 5;nnTTT,nTTnT
2011;( 5 or 1 ) sep ( 4 and 4 );sep or 5 1 and 4 4;nnnTT,TnnTn
2012;( 1 and 2 ) sep ( 4 and 3 );sep and 1 2 and 4 3;TTTTn
2013;( 2 or 4 ) sep ( 4 or 2 );sep or 2 4 or 4 2;nnnTn,nTnnn
2014;( 3 or 4 ) sep ( 5 and 3 );sep or 3 4 and 5 3;nnTnT
2015;( 5 or 1 ) sep ( 5 and 4 );sep or 5 1 and 5 4;nnnTT
2016;( 3 or 4 ) sep ( 5 or 5 );sep or 3 4 or 5 5;nnnTT,nnTnT
2017;( 1 and 3 ) sep ( 1 and 3 );sep and 1 3 and 1 3;TnTnn
2018;( 2 or 5 ) sep ( 5 and 4 );sep or 2 5 and 5 4;nnnTT
2019;( 1 or 4 ) sep ( 3 and 1 );sep or 1 4 and 3 1;TnTnn
2020;( 4 or 4 ) sep ( 1 or 4 );sep or 4 4 or 1 4;nnnTn
2021;( 4 and 1 ) sep ( 2 and 5 );sep and 4 1 and 2 5;TTnTT
2022;( 2 and 5 ) sep ( 5 and 1 );sep and 2 5 and 5 1;TTnnT
2023;( 2 and 2 ) sep ( 5 and 3 );sep and 2 2 and 5 3;nTTnT
2024;( 3 and 2 ) sep ( 5 and 3 );sep and 3 2 and 5 3;nTTnT
2025;( 4 or 1 ) sep ( 4 or 5 );sep or 4 1 or 4 5;nnnTn,TnnnT
2026;( 4 or 3 ) sep ( 4 or 2 );sep or 4 3 or 4 2;nnnTn,nTTnn
2027;( 2 and 2 ) sep ( 3 or 5 );sep and 2 2 or 3 5;nTnnT,nTTnn
2028;( 3 and 2 ) sep ( 1 or 1 );sep and 3 2 or 1 1;TTTnn
2029;( 3 or 2 ) sep ( 1 and 3 );sep or 3 2 and 1 3;TnTnn
2030;( 5 and 3 ) sep ( 5 and 2 );sep and 5 3 and 5 2;nTTnT
2031;( 2 and 3 ) sep ( 5 or 4 );sep and 2 3 or 5 4;nTTnT,nTTTn
2032;( 2 or 1 ) sep ( 3 or 4 );sep or 2 1 or 3 4;nTnTn,nTTnn,TnnTn,TnTnn
2033;( 1 or 1 ) sep ( 1 or 3 );sep or 1 1 or 1 3;Tnnnn
2034;( 3 or 4 ) sep ( 2 and 5 );sep or 3 4 and 2 5;nTnTT,nTTnT
2035;( 1 and 2 ) sep 3;sep and 1 2 3;TTTnn
2036;( 5 or 1 ) sep ( 2 and 3 );sep or 5 1 and 2 3;nTTnT,TTTnn
2037;( 3 and 1 ) sep not 2;sep and 3 1 not 2;TFTnn
2038;5 sep 5;sep 5 5;nnnnT
2039;( 5 or 2 ) sep ( 4 or 3 );sep or 5 2 or 4 3;nnnTT,nnTnT,nTnTn,nTTnn
2040;( 2 and 1 ) sep ( 1 and 4 );sep and 2 1 and 1 4;TTnTn
2041;( 1 and 2 ) sep ( 2 or 5 );sep and 1 2 or 2 5;TTnnn
2042;1 sep ( 3 or 3 );sep 1 or 3 3;TnTnn
2043;( 5 or 4 ) sep ( 5 and 3 );sep or 5 4 and 5 3;nnTnT
2044;( 4 and 3 ) sep ( 1 or 5 );sep and 4 3 or 1 5;nnTTT,TnTTn
2045;( 5 and 3 ) sep ( 5 and 1 );sep and 5 3 and 5 1;TnTnT
2046;( 1 or 2 ) sep ( 1 and 2 );sep or 1 2 and 1 2;TTnnn
2047;5 sep 1;sep 5 1;TnnnT
2048;( 4 and 3 ) sep ( 1 and 5 );sep and 4 3 and 1 5;TnTTT
2049;( 2 or 4 ) sep ( 1 or 1 );sep or 2 4 or 1 1;TnnTn,TTnnn
2050;( 3 and 2 ) sep ( 5 or 4 );sep and 3 2 or 5 4;nTTnT,nTTTn
2051;( 3 and 2 ) sep ( 2 or 2 );sep and 3 2 or 2 2;nTTnn
2052;( 2 and 3 ) sep ( 5 or 5 );sep and 2 3 or 5 5;nTTnT
2053;( 2 and 4 ) sep ( 5 and 5 );sep and 2 4 and 5 5;nTnTT
2054;( 4 and 4 ) sep 2;sep and 4 4 2;nTnTn
2055;( 3 or 5 ) sep ( 5 and 4 );sep or 3 5 and 5 4;nnnTT
2056;5 sep ( 2 or 2 );sep 5 or 2 2;nTnnT
2057;( 1 or 2 ) sep ( 4 or 2 );sep or 1 2 or 4 2;nTnnn,TnnTn
2058;( 1 and 3 ) sep ( 4 or 5 );sep and 1 3 or 4 5;TnTnT,TnTTn
2059;( 2 and 5 ) sep 3;sep and 2 5 3;nTTnT
2060;( 5 and 1 ) sep ( 5 and 5 );sep and 5 1 and 5 5;TnnnT
2061;( 3 and 3 ) sep ( 2 or 3 );sep and 3 3 or 2 3;nnTnn
2062;( 2 or 5 ) sep ( 1 and 1 );sep or 2 5 and 1 1;TnnnT,TTnnn
2063;( 1 or 5 ) sep ( 5 or 3 );sep or 1 5 or 5 3;nnnnT,TnTnn
2064;( 1 or 5 ) sep ( 3 and 3 );sep or 1 5 and 3 3;nnTnT,TnTnn
2065;( 5 or 4 ) sep ( 2 or 2 );sep or 5 4 or 2 2;nTnnT,nTnTn
2066;( 5 and 5 ) sep ( 1 or 5 );sep and 5 5 or 1 5;nnnnT
2067;( 3 or 4 ) sep ( 5 and 5 );sep or 3 4 and 5 5;nnnTT,nnTnT
2068;( 5 and 4 ) sep ( 5 or 4 );sep and 5 4 or 5 4;nnnTT
2069;1 sep ( 4 or 2 );sep 1 or 4 2;TnnTn,TTnnn
2070;( 3 or 1 ) sep ( 5 and 3 );sep or 3 1 and 5 3;nnTnT
2071;( 1 and 1 ) sep ( 3 or 1 );sep and 1 1 or 3 1;Tnnnn
2072;( 2 and 5 ) sep ( 4 or 1 );sep and 2 5 or 4 1;nTnTT,TTnnT
2073;( 4 and 5 ) sep ( 5 and 4 );sep and 4 5 and 5 4;nnnTT
2074;( 4 or 5 ) sep ( 5 and 2 );sep or 4 5 and 5 2;nTnnT
2075;( 5 and 2 ) sep 4;sep and 5 2 4;nTnTT
2076;( 5 and 2 ) sep ( 3 or 4 );sep and 5 2 or 3 4;nTnTT,nTTnT
2077;( 3 or 1 ) sep ( 5 and 5 );sep or 3 1 and 5 5;nnTnT,TnnnT
2078;( 2 or 5 ) sep ( 1 or 5 );sep or 2 5 or 1 5;nnnnT,TTnnn
2079;( 4 or 3 ) sep ( 1 and 2 );sep or 4 3 and 1 2;TTnTn,TTTnn
2080;( 1 and 2 ) sep not 5;sep and 1 2 not 5;TTnnF
2081;( 3 or 2 ) sep ( 5 and 2 );sep or 3 2 and 5 2;nTnnT
2082;( 2 or 2 ) sep ( 5 and 1 );sep or 2 2 and 5 1;TTnnT
2083;( 3 and 5 ) sep ( 3 and 2 );sep and 3 5 and 3 2;nTTnT
2084;( 2 and 2 ) sep ( 5 and 1 );sep and 2 2 and 5 1;TTnnT
2085;( 1 or 5 ) sep ( 5 and 2 );sep or 1 5 and 5 2;nTnnT
2086;( 4 or 5 ) sep ( 2 and 5 );sep or 4 5 and 2 5;nTnnT
2087;( 1 and 4 ) sep ( 4 or 5 );sep and 1 4 or 4 5;TnnTn
2088;( 4 and 4 ) sep ( 5 or 1 );sep and 4 4 or 5 1;nnnTT,TnnTn
2089;( 5 or 1 ) sep ( 3 or 3 );sep or 5 1 or 3 3;nnTnT,TnTnn
2090;( 2 or 3 ) sep ( 1 and 2 );sep or 2 3 and 1 2;TTnnn
2091;( 1 or 4 ) sep ( 2 and 3 );sep or 1 4 and 2 3;nTTTn,TTTnn
2092;( 2 and 1 ) sep ( 2 or 1 );sep and 2 1 or 2 1;TTnnn
2093;( 4 or 3 ) sep ( 3 or 2 );sep or 4 3 or 3 2;nnTnn,nTnTn
2094;( 3 or 4 ) sep ( 2 or 2 );sep or 3 4 or 2 2;nTnTn,nTTnn
2095;( 2 and 2 ) sep ( 4 or 3 );sep and 2 2 or 4 3;nTnTn,nTTnn
2096;( 2 or 1 ) sep ( 5 and 1 );sep or 2 1 and 5 1;TnnnT
2097;( 2 or 4 ) sep ( 3 or 4 );sep or 2 4 or 3 4;nnnTn,nTTnn
2098;( 5 or 3 ) sep ( 4 or 5 );sep or 5 3 or 4 5;nnnnT,nnTTn
2099;( 2 and 4 ) sep ( 5 and 4 );sep and 2 4 and 5 4;nTnTT
2100;( 2 or 3 ) sep ( 2 or 1 );sep or 2 3 or 2 1;nTnnn,TnTnn
2101;( 3 or 3 ) sep ( 2 or 1 );sep or 3 3 or 2 1;nTTnn,TnTnn
2102;( 2 and 2 ) sep ( 1 or 4 );sep and 2 2 or 1 4;nTnTn,TTnnn
2103;( 5 and 4 ) sep ( 1 or 3 );sep and 5 4 or 1 3;nnTTT,TnnTT
2104;( 1 and 5 ) sep ( 3 or 5 );sep and 1 5 or 3 5;TnnnT
2105;( 2 or 3 ) sep 4;sep or 2 3 4;nnTTn,nTnTn
2106;( 1 or 1 ) sep ( 3 and 1 );sep or 1 1 and 3 1;TnTnn
2107;( 4 or 1 ) sep ( 5 or 1 );sep or 4 1 or 5 1;nnnTT,Tnnnn
2108;( 3 and 5 ) sep ( 1 or 5 );sep and 3 5 or 1 5;nnTnT
2109;( 4 and 3 ) sep ( 2 or 4 );sep and 4 3 or 2 4;nnTTn
2110;( 5 or 4 ) sep ( 5 and 1 );sep or 5 4 and 5 1;TnnnT
2111;( 1 or 1 ) sep ( 1 and 1 );sep or 1 1 and 1 1;Tnnnn
2112;( 3 and 1 ) sep ( 4 or 1 );sep and 3 1 or 4 1;TnTnn
2113;( 4 and 5 ) sep ( 5 and 2 );sep and 4 5 and 5 2;nTnTT
2114;( 4 and 3 ) sep ( 3 and 3 );sep and 4 3 and 3 3;nnTTn
2115;( 1 and 2 ) sep ( 5 or 4 );sep and 1 2 or 5 4;TTnnT,TTnTn
2116;( 4 or 3 ) sep ( 2 or 1 );sep or 4 3 or 2 1;nTnTn,nTTnn,TnnTn,TnTnn
2117;( 5 or 5 ) sep ( 1 and 4 );sep or 5 5 and 1 4;TnnTT
2118;( 5 and 5 ) sep ( 4 and 1 );sep and 5 5 and 4 1;TnnTT
2119;not 4 sep ( 5 and 1 );sep not 4 and 5 1;TnnFT
2120;4 sep ( 4 or 1 );sep 4 or 4 1;nnnTn
2121;( 4 and 5 ) sep ( 1 or 5 );sep and 4 5 or 1 5;nnnTT
2122;( 2 or 4 ) sep ( 5 and 2 );sep or 2 4 and 5 2;nTnnT
2123;( 5 or 3 ) sep ( 3 or 1 );sep or 5 3 or 3 1;nnTnn,TnnnT
2124;( 1 or 3 ) sep 3;sep or 1 3 3;nnTnn
2125;( 5 and 1 ) sep ( 3 or 2 );sep and 5 1 or 3 2;TnTnT,TTnnT
2126;( 5 or 5 ) sep ( 2 or 2 );sep or 5 5 or 2 2;nTnnT
2127;( 5 or 4 ) sep ( 4 or 2 );sep or 5 4 or 4 2;nnnTn,nTnnT
2128;( 3 or 2 ) sep 5;sep or 3 2 5;nnTnT,nTnnT
2129;( 2 or 1 ) sep ( 1 and 5 );sep or 2 1 and 1 5;TnnnT
2130;( 1 or 4 ) sep ( 1 and 4 );sep or 1 4 and 1 4;TnnTn
2131;( 2 and 4 ) sep ( 4 or 5 );sep and 2 4 or 4 5;nTnTn
2132;( 4 or 2 ) sep ( 5 or 5 );sep or 4 2 or 5 5;nnnTT,nTnnT
2133;4 sep ( 3 or 2 );sep 4 or 3 2;nnTTn,nTnTn
2134;( 4 and 5 ) sep ( 5 or 1 );sep and 4 5 or 5 1;nnnTT
2135;( 3 or 4 ) sep ( 2 and 3 );sep or 3 4 and 2 3;nTTnn
2136;( 5 and 2 ) sep ( 3 and 3 );sep and 5 2 and 3 3;nTTnT
2137;( 3 or 5 ) sep 4;sep or 3 5 4;nnnTT,nnTTn
2138;( 2 and 1 ) sep ( 2 and 4 );sep and 2 1 and 2 4;TTnTn
2139;( 1 and 4 ) sep ( 3 or 5 );sep and 1 4 or 3 5;TnnTT,TnTTn
2140;not 2 sep ( 3 and 3 );sep not 2 and 3 3;nFTnn
2141;( 3 and 2 ) sep ( 1 or 5 );sep and 3 2 or 1 5;nTTnT,TTTnn
2142;( 5 or 2 ) sep ( 1 or 5 );sep or 5 2 or 1 5;nnnnT,TTnnn
2143;2 sep ( 2 or 5 );sep 2 or 2 5;nTnnn
2144;( 5 or 4 ) sep 5;sep or 5 4 5;nnnnT
2145;( 3 and 5 ) sep not 2;sep and 3 5 not 2;nFTnT
